id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,status_frente,observacao_frente,arquivo_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,frente,municipio_conflitante_sem_cadastro
F001,04/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis,producao_parcial,"Execução com interferências no trajeto (rede de esgoto, rede de água e presença de pedras/rochas), exigindo maior cautela na escavação.",entrada_interface.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,04/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,com_producao,,entrada_interface.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,com_producao,,entrada_interface.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,04/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. das Cerejas,com_producao,,entrada_interface.txt,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F005,04/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. das Cerejas / Tv. Haitiana,com_producao,,entrada_interface.txt,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F006,04/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa da Bete / Rua Dezesseis,com_producao,,entrada_interface.txt,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F007,04/03/2026,Oeste 1,Água Legal,Vila Dirce,Ezequiel,Recomposição Asfáltica,com_producao,,entrada_interface.txt,,Carapicuíba,Vila Dirce,Carapicuíba,Vila Dirce,Carapicuíba,cadastrado,,
F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,producao_parcial,"Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",entrada_interface.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",producao_parcial,"Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",entrada_interface.txt,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,
F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,producao_parcial,Produtividade impactada pela espera da mangueira do compressor.,entrada_interface.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,03/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 7,com_producao,,entrada_interface.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,com_producao,,entrada_interface.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F006,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,com_producao,,entrada_interface.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,producao_parcial,Atividades paralisadas no período da manhã devido à chuva. Serviço executado após fechamento da rede.,consolidado_2026_03_09.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,09/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis,sem_producao,"Atividades interrompidas devido à tempestade, impossibilitando abertura de valas e execução dos serviços.",consolidado_2026_03_09.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,09/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Mississipi,producao_parcial,"Devido à chuva contínua durante todo o dia, não foi possível executar a escavação da vala.",consolidado_2026_03_09.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,09/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Bala / Tv. do Bete,com_producao,,consolidado_2026_03_09.txt,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F005,09/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,com_producao,,consolidado_2026_03_09.txt,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F006,09/03/2026,Oeste 1,Água Legal,Vila Dirce,Ezequiel,Recomposição Asfáltica,com_producao,,consolidado_2026_03_09.txt,,Carapicuíba,Vila Dirce,Carapicuíba,Vila Dirce,Carapicuíba,cadastrado,,
F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,producao_parcial,"Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",consolidado_2026_03_03.txt,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,
F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",producao_parcial,"Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",consolidado_2026_03_03.txt,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,
F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,producao_parcial,Produtividade impactada pela espera da mangueira do compressor.,consolidado_2026_03_03.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,03/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 7,com_producao,,consolidado_2026_03_03.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,com_producao,,consolidado_2026_03_03.txt,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
