arquivo_docx,data_referencia,nucleo
Relatórios 03.03/Núcleo José Bonifácio/Núcleo José Bonifácio 03.03.docx,03/03/2026,José Bonifácio
Relatórios 03.03/Núcleo Mississipi/Núcleo Mississipi 03.03.docx,03/03/2026,Mississipi
Relatórios 03.03/Núcleo Santa Terezinha/Núcleo Santa Terezinha  03.03.docx,03/03/2026,Santa Terezinha
Relatórios 04.03/Núcleo Cerejas/Núcleo Cerejas 04.03.docx,04/03/2026,Cerejas
Relatórios 04.03/Núcleo Mississipi/Núcleo Mississipi 04.03.docx,04/03/2026,Mississipi
Relatórios 05.03/Núcleo Cerejas/Núcleo Cerejas 05.03.docx,05/03/2026,Cerejas
Relatórios 05.03/Núcleo Mississipi/Núcleo Mississipi 05.03.docx,05/03/2026,Mississipi
Relatórios 06.03/Núcleo Cerejas/Núcleo Cerejeas 06.03.docx,06/03/2026,Cerejas
Relatórios 06.03/Núcleo Mississipi/Núcleo Mississipi 06.03.docx,06/03/2026,Mississipi
Relatórios 09.03/Núcleo Cerejas/Núcleo Cerejas  09.03.docx,09/03/2026,Cerejas
Relatórios 09.03/Núcleo Mississipi/Núcleo Mississipi 09.03.docx,09/03/2026,Mississipi
Relatórios 09.03/Núcleo Santa Terezinha/Núcleo Santa Terezinha 09.03.docx,09/03/2026,Santa Terezinha
Relatórios 25.02/Núcleo Cerejas/Núcleo CRJ 25.02.docx,25/02/2026,Cerejas
Relatórios 25.02/Núcleo Mississipi/Núcleo Mississipi 25.02.docx,25/02/2026,Mississipi
Relatórios 25.02/Núcleo Patrocínio/Núcleo PTC 25.02.docx,25/02/2026,Patrocínio
Relatórios 25.02/Núcleo PTC 25.02.docx,25/02/2026,Patrocínio
Relatórios 25.02/Núcleo Santa Terezinha/RELATαRIO STA 25.02.docx,25/02/2026,Santa Terezinha
Relatórios 25.02/Relatório de Indicadores/Relatódio de Indicadores 25.02.docx,24/02/2026,
Relatórios 27.02/Núcleo Cerejas/Núcleo Cerejas 27.02.docx,27/02/2026,Cerejas
Relatórios 27.02/Núcleo Mississipi/Núcleo Mississipi 27.02.docx,27/02/2026,Mississipi
Relatórios 27.02/Núcleo Patrocínio/Núcleo Patrocínio 27.02.docx,27/02/2026,Patrocínio
Relatórios 28.02/Núcleo Cerejas/Núcleo Cerejas 28.02.docx,28/02/2026,Cerejas
Relatórios 28.02/Núcleo Mississipi/Núcleo Mississipi 28.02.docx,28/02/2026,Mississipi
Relatórios 28.02/Núcleo Santa Terezinha/Núcleo Santa Terezinha 28.02.docx,28/02/2026,Santa Terezinha
